Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
37,Comparison of Curosurf and Infasurf in the Treatment of Preterm Infants With Respiratory Distress Syndrome,Completed,Has Results,Drug: Poractant alfa|Drug: calfactant,Change From Baseline in Blood C-reactive (CRP) Protein|Presence of Pulmonary Hemorrhage|Change in Number of Tracheal Macrophages,22 Weeks to 35 Weeks   (Child),Not Applicable,30,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",15-Jul,"University of Missouri, Women's and Children's Hospital, Columbia, Missouri, United States",https://ClinicalTrials.gov/show/NCT02834624,,38.93641465,-92.32970302,"University of Missouri, Women's and Children's Hospital",University of Missouri,"Naomi Lauriello, MD",Boone,0,0.368950589,1,Missouri,110,64.14362573
38,The ASTERS Study: Assessing the Role of Sphingolipids in AcuTE Respiratory Distress Syndrome (ARDS),Completed,No Results Available,,Ceramide levels in exhaled breath condensate,"18 Years and older   (Adult, Older Adult)",,8,Observational,Observational Model: Case-Control|Time Perspective: Prospective,12-Mar-21,"University of Kentucky Chandler Medical Center, Lexington, Kentucky, United States",https://ClinicalTrials.gov/show/NCT03654352,,38.031102,-84.5076352,"University of Kentucky Chandler Medical Center, Lexington",University of Kentucky Chandler Medical Center,,Fayette,3,0.479679108,3,Kentucky,260,98.37527725
39,Relationship of Pulmonary Contusion to Pulmonary Inflammation and Incidence of Acute Respiratory Distress Syndrome,Completed,No Results Available,,Volume of Pulmonary Contusion on CT scan|Volume of serum inflammatory mediator levels in BAL fluid|Presence of Tregs in BAL fluid|Presence of activated neutrophils in BAL fluid|Appearance of M2 macrophage phenotypes in BAL fluid,"16 Years and older   (Child, Adult, Older Adult)",,10,Observational,Observational Model: Case-Control|Time Perspective: Prospective,15-Mar,"Wake Forest Baptist Health, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02265198,,36.0783207,-80.3336044,"Wake Forest Baptist Health, Winston-Salem",Wake Forest Baptist Health,"Jason Hoth, MD",Forsyth,259,0.361796043,2,North Carolina,259,61.93180236
40,Adaptive Support Ventilation in Acute Respiratory Distress Syndrome,Completed,No Results Available,Other: ASV|Other: Lung Protective Ventilation,Tidal Volume|Driving Pressure (cmH20)|Respiratory rate (BPM)|Oxygenation (SpO2%)|CO2 clearance|Blood Gas pH|Blood Gas Partial Pressure of Oxygen|Blood Gas Partial Pressure of Carbon Dioxide (PaCO2) (mm Hg)|Composite measure (lung protectiveness) - Asynchrony index|Composite measure (lung protectiveness) - Number of Adjustments|Composite measure (lung protectiveness) - Time with tidal volumes under 6cc/kg|Composite measure (lung protectiveness) - Driving pressures less than 15|Composite measure (lung protectiveness) - Plateau Pressure <30|Composite measure (lung protectiveness) - Oxygen saturation by pulse Oximetry (SpO2) >88%|Time to extubation|ICU length of stay,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,31-Jan-21,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03715751,,42.33837185,-71.10970568,"Beth Israel Deaconess Medical Center, Boston",Beth Israel Deaconess Medical Center,"Daniel Talmor, MD, MPH",Suffolk,281,0.317766372,4,Massachusetts,447,48.32005745
41,Early PP With HFNC Versus HFNC in COVID-19 Induced Moderate to Severe ARDS,Completed,Has Results,Device: high flow nasal cannula (HFNC)|Procedure: Prone positioning (PP),Treatment Failure (Intubation or Death)|Number of Participants With Intubation|Mortality|Number of Participants With Adverse Events,"18 Years and older   (Adult, Older Adult)",Not Applicable,224,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,21-Feb-21,"Rush University Medical Center, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04325906,,41.87352605,-87.66910151,"Rush University Medical Center, Chicago",Rush University Medical Center,"Jie Li, PhD",Cook,0,0.319824519,3,Illinois,1606,48.9563323
42,Tregs for the Treatment of Acute Respiratory Distress Syndrome (ARDS) Associated With COVID-19 (regARDS),Terminated,No Results Available,Biological: Cryopreserved Ex Vivo Expanded Polyclonal CD4+CD127lo/-CD25+ T Regulatory Cells,Number of Participants Who Experienced Dose-Limiting Toxicities (DLTs),"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,4,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2-Mar-22,"University of North Carolina, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT05027815,,35.90503535,-79.04775327,"University of North Carolina, Chapel Hill",University of North Carolina,"Maor Sauler, MD",Orange,0,0.178217076,0,North Carolina,13,5.178480972
43,"Open Lung Strategy, Gas Distribution and Right Heart Function in ARDS Patients",Recruiting,No Results Available,Procedure: PEEP ARDSnet|Procedure: PEEP LRM,Driving Pressure (cmH2O),"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,50,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,24-Aug,"Massachussets General Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03202641,,42.3625677,-71.0687661,"Massachussets General Hospital, Boston",Massachussets General Hospital,"Robert Kacmarek, RRT, PhD",Suffolk,281,0.317766372,0,Massachusetts,447,48.32005745
44,Defibrotide Therapy for SARS-CoV2 (COVID-19) Acute Respiratory Distress Syndrome (ARDS),Completed,Has Results,Drug: Defibrotide,Number of Major Hemorrhagic Complications Within 14 Days of Initiation of Treatment|Overall Survival|Ventilator-free Survival|Number of Ventilator Free Days Within 14 Days of Study Entry|The Time to Improvement in Oxygenation|Mean Change in the WHO COVID-19 Ordinal Scale During Therapy,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,13,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,9-Apr-21,"University of Michigan, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT04530604,,42.2942142,-83.71003894,"University of Michigan, Ann Arbor",University of Michigan,"Gregory Yanik, MD",Washtenaw,92,0.349973993,2,Michigan,92,58.27702309
45,Inhaled Steroids for the Treatment of Early Pediatric Acute Respiratory Distress Syndrome,Terminated,Has Results,Drug: Budesonide|Drug: Placebo|Device: Nebulizer,Number of Ventilator-free Days (VFD)|Oxygenation Index (OI)|Oxygen Saturation Index (OSI)|Number of Days Participant Stayed in Pediatric Intensive Care Unit (PICU)|Number of Days Participant Stayed in Hospital|TNF Alpha Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|Interleukin (IL) -6 Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|IL-6 Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|IL-8 Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|MMP-8 Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|MMP-9 Levels as Assessed by the Enzyme-linked Immunosorbent Assay (ELISA) Test|Neutrophil Count|FEV1|Forced Expiratory Volume at One Second FEV1/FVC|Forced Vital Capacity (FVC)|Forced Expiratory Flow FEF 25-75%|Respiratory Resistance by Impulse Oscillometry (IOS)|Respiratory Impedance by Impulse Oscillometry (IOS)|Respiratory Reactance by Impulse Oscillometry (IOS),"30 Days to 18 Years   (Child, Adult)",Phase 2,2,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",30-Mar-20,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04064684,,29.7029537,-95.4031995,"The University of Texas Health Science Center at Houston, Houston",The University of Texas Health Science Center at Houston,"Alvaro J Coronado Munoz, MD",Harris,918,0.290090595,2,Texas,918,39.76410852
46,High Flow Nasal Cannula in Comparison With Nasal Continuous Positive Airway Pressure in the Management of Respiratory Distress Syndrome,Completed,No Results Available,Device: HHHFNC|Device: NCPAP,"the need for re-intubation|Duration of respiratory support using HHHFNC /NCPAP.|Incidence of nasal breakdown|sepsis|intraventricular hemorrhage (IVH),|retinopathy of prematurity (ROP)","Child, Adult, Older Adult",Not Applicable,60,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment,12-Apr,"Akron Children's Hospital, Akron, Ohio, United States",https://ClinicalTrials.gov/show/NCT02587832,,41.0792309,-81.5257958,"Akron Children's Hospital, Akron",Akron Children's Hospital,"Mohammed Elkhwad, MD",Summit,4,0.376737295,1,Ohio,170,66.55088095
48,Early Insulin and Development of ARDS,Completed,Has Results,Drug: Insulin,"Plasma Levels of Free Fatty Acids, Tumor Necrosis Factor-α, Interleukin-6, and Von Willebrand Factor Antigen|Murray Lung Injury Score","18 Years and older   (Adult, Older Adult)",Phase 2,18,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,13-Sep,"Montefiore Medical Center, Bronx, New York, United States",https://ClinicalTrials.gov/show/NCT00605696,,40.8800853,-73.8798439,"Montefiore Medical Center, Bronx",Montefiore Medical Center,"Michelle Ng Gong, MD, MS",,,,1,New York,893,
49,Comparison in Pulmonary Compliance Between Curosurf and Survanta in Preterm Infants With Respiratory Distress Syndrome,Withdrawn,No Results Available,Drug: Curosurf®|Drug: Survanta®,Change in dynamic compliance,15 Minutes to 12 Hours   (Child),Not Applicable,0,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",,"University of Michigan C & W Mott Children's Hospital, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT01537354,,42.281891,-83.7271714,"University of Michigan C & W Mott Children's Hospital, Ann Arbor",University of Michigan C & W Mott Children's Hospital,"Steven Donn, M.D.",Washtenaw,92,0.349973993,2,Michigan,92,58.27702309
50,Molecular Epidemiology of ARDS,"Active, not recruiting",No Results Available,,Risk of ARDS|Mortality,"18 Years to 80 Years   (Adult, Older Adult)",,4000,Observational,Observational Model: Case-Control|Time Perspective: Prospective,23-Dec,"Massachusetts General Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00006496,,42.36286045,-71.06875297,"Massachusetts General Hospital, Boston",Massachusetts General Hospital,"David Christiani, MD",Suffolk,281,0.317766372,2,Massachusetts,447,48.32005745
51,Safety of T Regulatory Cell Therapy in Subjects With COVID-19 Induced Acute Respiratory Distress Syndrome,Withdrawn,No Results Available,Biological: T regulatory cells,The number of participants that experience the occurrence of infusion associated adverse events (AEs)|The number of patients that experience treatment emergent AEs|The number of patients who receive the target dose for one or more intravenous infusions|The ratio of average daily partial pressure of oxygen (PaO2) to average fraction of inspired oxygen (FiO2) (PaO2:FiO2) over time|World Health Organization (WHO) COVID-19 ordinal scale score for clinical improvement|Change in Sequential Organ Failure Assessment (SOFA) Score over time|Mortality following initial infusion,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,0,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,22-Sep,"Stanford University, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT04737161,,37.43131385,-122.1693654,"Stanford University, Stanford",Stanford University,"Joe L Hsu, MD",Santa Clara,313,0.173702036,3,California,313,3.782659215
52,Mesenchymal Stem Cells (MSCs) for Treatment of Acute Respiratory Distress Syndrome (ARD) in Patients With Malignancies,Completed,No Results Available,Biological: Mesenchymal Stem Cells (MSCs),Adverse Events of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD)|Clinical Improvement of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD)|Improvement in PF or S/F Ratio of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD),"18 Years and older   (Adult, Older Adult)",Phase 1,20,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13-Jun-19,"University of Texas MD Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT02804945,,29.7076703,-95.39782994,"University of Texas MD Anderson Cancer Center, Houston",University of Texas MD Anderson Cancer Center,"Amanda L. Olson, MD",Harris,918,0.290090595,1,Texas,918,39.76410852
